I, [2021-11-10T10:41:34.348287 #26748]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.8.0)
E, [2021-11-10T10:41:34.348807 #26748] ERROR -- Kitchen: ------Exception-------
E, [2021-11-10T10:41:34.348871 #26748] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2021-11-10T10:41:34.348886 #26748] ERROR -- Kitchen: Message: Kitchen YAML file /Users/bran3045/chef-stuff/rails_demo/kitchen.yml does not exist.
E, [2021-11-10T10:41:34.348897 #26748] ERROR -- Kitchen: ----------------------
E, [2021-11-10T10:41:34.348907 #26748] ERROR -- Kitchen: ------Backtrace-------
E, [2021-11-10T10:41:34.348917 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/loader/yaml.rb:64:in `read'
E, [2021-11-10T10:41:34.348927 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/config.rb:153:in `data'
E, [2021-11-10T10:41:34.348936 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/config.rb:131:in `suites'
E, [2021-11-10T10:41:34.348947 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/config.rb:183:in `filter_instances'
E, [2021-11-10T10:41:34.348957 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/config.rb:142:in `build_instances'
E, [2021-11-10T10:41:34.348967 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/config.rb:116:in `instances'
E, [2021-11-10T10:41:34.348976 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2021-11-10T10:41:34.348985 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2021-11-10T10:41:34.348995 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/command/action.rb:34:in `block in call'
E, [2021-11-10T10:41:34.349006 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2021-11-10T10:41:34.349016 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/command/action.rb:33:in `call'
E, [2021-11-10T10:41:34.349025 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/cli.rb:52:in `perform'
E, [2021-11-10T10:41:34.349035 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2021-11-10T10:41:34.349044 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2021-11-10T10:41:34.349053 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2021-11-10T10:41:34.349064 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2021-11-10T10:41:34.349073 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2021-11-10T10:41:34.349082 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/bin/kitchen:11:in `block in <top (required)>'
E, [2021-11-10T10:41:34.349091 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/lib/kitchen/errors.rb:170:in `with_friendly_errors'
E, [2021-11-10T10:41:34.349101 #26748] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.8.0/bin/kitchen:11:in `<top (required)>'
E, [2021-11-10T10:41:34.349111 #26748] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:342:in `load'
E, [2021-11-10T10:41:34.349120 #26748] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:342:in `<main>'
E, [2021-11-10T10:41:34.349129 #26748] ERROR -- Kitchen: ----End Backtrace-----
